Shop code,Business name,Address,Labels,Google Search – Mobile,Google Search – Desktop,Google Maps – Mobile,Google Maps – Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using mobile,Number of people that viewed your Business Profile on Google Search using desktop,Number of people that viewed your Business Profile on Google Maps using mobile,Number of people that viewed your Business Profile on Google Maps using desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
01811573454924822478,"Allo Health, Tambaram - Best Sexologist & Sex Doctors in Chennai","Sai Doctors Clinics, 87, Chennai - Theni Hwy, Kadaperi, Tambaram, Chennai, Tamil Nadu 600045","Chennai, T1, TN",3478,145,930,39,115,0,0,29,39,0,0,0
04598101031435945721,"Allo Health, Katraj - Best Sexologist & STI/STD Specialist in Pune","Shree Sainath Hospital, Trimurti Chowk, Dosti Apartment N, Chandrabhaga Nagar Rd, Near PICT College Auto Stand, Mohan Nagar, Dhankawadi, Pune, Maharashtra 411046","MH, Pune, T1",991,91,533,21,41,0,0,73,20,0,0,0
02696960434849614515,"Allo Health, Arekere - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Svasti Diagnostics, 1st Floor, GS Towers, 116, Sai Baba Temple Rd, near, Arekere, Royal Residency Layout, Hulimavu, Bengaluru, Karnataka 560076","Bangalore, KA, T1",3372,180,1593,69,54,0,0,76,15,0,0,0
09138682698771371541,"Allo Health, Jaipur - Best Sexologist in Jaipur | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI/HIV Testing","Chamber 101, Asha Clinic, 69 Sirsi Rd, Near Dmart, opposite Hotel Nilax, Officers Campus, Khatipura, Jaipur, Rajasthan 302012","Jaipur, RJ, T2",7168,222,1273,30,120,0,0,36,34,0,0,0
07873571621400016238,Allo Health - Attapur | Best Sexologist | Sex Doctor and Sexual Health Clinic,"Atlas Medical Diagnostics, A, PillarNo.139, rangareddy Complex, D.No.14-6-69, Attapur, Telangana 500048","Hyderabad, T1, TS",5253,219,1531,43,86,0,0,36,17,0,0,0
01818319990647139661,"Allo Health, Electronic City - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Neo Health Clinic, 1st Floor, Chamber No. 6, Legacy Apartment, Neeladri Road, Above IDFC First Bank, Electronic City - Phase 1, Bengaluru, Karnataka 560100","Bangalore, KA, T1",14289,181,2092,73,112,0,0,23,43,0,0,0
10948058060536064285,"Allo Health, Koramangala - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Cudur Speciality Clinics, 33, Ground floor, 1st Main Rd, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034","Bangalore, KA, T1",7779,582,1912,91,107,0,0,38,47,0,0,0
04865911273522155444,"Allo Health, Bellandur - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Nurture Multispeciality Clinic, 3rd Floor, 76/1B, Doddakannelli -, Kaadubeesanahalli Rd, next to New Horizon Gurukul School, Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103","Bangalore, KA, T1",2738,289,1943,66,73,0,0,63,48,0,0,0
00037372331341039606,"Allo Health, Mogappair - Best Sexologist in Chennai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","MMRV Hospital, 2, 5/PC, Bharathi Salai, Mogappair West, Ambattur Industrial, Estate, Chennai, Tamil Nadu 600037","Chennai, T1, TN",1734,157,828,33,59,0,0,54,36,0,0,0
04502007916710493791,"Allo Health, Sushant Lok - Best Sexologist & STI/STD Specialist in Gurugram","Sayaamed Multispeciality Clinic, Ground Floor, No – 2742, C,1 Block, Plot,Block, C, Near पारस हॉस्पिटल, सुशांत लोक फेस I, सेक्टर 43, गुरुग्राम, Haryana 122001",Delhi,362,102,40,12,6,0,0,53,1,0,0,0
03671307900688291897,"Allo Health, Baner - Best Sexologist in Pune | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Baner Multi-Speciality Hospital, 1st Floor, OPD 3, PMC garden, Pancard Club Rd, Baner Gaon,, Baner, Pune, Maharashtra 411069","MH, Pune, T1",3235,169,1071,60,55,0,0,37,20,0,0,0
17642569615016470676,"Allo Health, KR Puram - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Health Plus Multispeciality Hospital, 2nd Floor, NO 70, SHOP 6, Thambu Chetty Palya Main Rd, near ST.ANTHONY CHURCH, Sunshine Layout, Krishnarajapuram, Bengaluru, Karnataka 560036","Bangalore, KA, T1",2990,192,2018,46,92,0,0,38,28,0,0,0
11548180494366271373,"Allo Health, Visakhapatnam - Best Sexologist in Visakhapatnam | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Lalit Health Care, Ground Floor, Chamber No 4, #1-69-4/1, Rythu Bazaar Rd, opposite Anna Canteen, Opposite Rythu Bazar, Sector 4, Sector 3, MVP Colony, Visakhapatnam, Andhra Pradesh 530017","AP, T2, Visakhapatnam",597,119,394,16,38,0,0,20,17,0,0,0
08553094829917313313,"Allo Health, Thane - Best Sexologist in Thane | Sex Doctor | Sexologist in Mumbai","OPD 3, Ground Floor, Infinity Prime Speciality Hospital, Shop no 12, Pride Park, Ghodbunder Rd, near R mall, Dokali Pada, Dhokali, Thane West, Thane, Maharashtra 400607","MH, Mumbai, T1",5377,244,1352,35,95,0,0,37,26,0,0,0
10775609659436480773,"Allo Health, Vashi | Best Sexologist | Sex Doctor and Sexual Health Clinic","ADC (Ashirwad Diagnostic Centre), B3/ 03/ 0:2, 0 2, Vashi Kopar Khairane Rd, opposite Global 5 Hospital, Juhu Nagar, Sector 15, Vashi, Navi Mumbai, Maharashtra 400703","MH, Mumbai, T1",3218,226,742,31,85,0,0,32,37,0,0,0
17847313291342374284,"Allo Health, Velachery - Best Sexologist in Chennai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Lapser Multispeciality Clinic, Ground floor, 25, 15th St, below apollo dental, Tansi Nagar, Velachery, Chennai, Tamil Nadu 600042","Chennai, T1, TN",20058,480,1656,50,206,0,0,48,71,0,0,0
08604432789001692473,Allo Health - India's largest chain of Sexual Health Clinics,"Ground Floor, B23, House of Aesthetics, N, Block Market 1, Block B, Greater Kailash I, New Delhi, Delhi 110048",Delhi,1866,506,286,18,18,0,0,51,15,0,0,0
00706008082143913112,"Allo Health, Gandhinagar - Best Sexologist in Gandhinagar | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Dr Parmar Ni Hospital, Block C, 3rd Floor, Pramukh Mastana, Near Reliance Cross Road Dholakuva, Kudasan, Gandhinagar, Gujarat 382419","GJ, Gandhinagar, T2",295,79,160,27,0,0,0,25,12,0,0,0
01664977483077396212,"Allo Health, Nungambakkam - Best Sexologist in Chennai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","The Birthwave Gynaecology Clinic, 8/15, Mahalingapuram Main Rd,, Mahalingapuram, Nungambakkam, Chennai, Tamil Nadu 600034","Chennai, T1, TN",19528,485,1321,54,165,0,0,27,71,0,0,0
06006310887442687457,"Allo Health, HSR Layout - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","UMC (United Medical Center) - Chamber No. 4, Basement, 27th Main Rd, Below Kotak Mahindra Bank, Sector 2, HSR Layout, Bengaluru, Karnataka 560102","Bangalore, KA, T1",7262,467,2459,130,129,0,0,41,58,0,0,0
06853812437302068172,"Allo Health, Mangaluru - Best Sexologist in Mangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Lifeline Healthcare Plus, 1st floor, Falnir Health Centre, Falnir Rd, Attavar, Mangaluru, Karnataka 575002","KA, Mangaluru, T2",2526,147,419,27,67,0,0,26,24,0,0,0
,Allo Health Corporate Office,"Allo Health, 3rd floor, Workden, 42 Estates, #775, 100 Feet Rd, HAL 2nd Stage, Above Zimson Watch Store / Blackberrys, Indiranagar, Bengaluru, Karnataka 560038","Bangalore, KA, T1",756,258,333,55,6,0,0,122,3,0,0,0
18352573406652094894,"Allo Health, Brookefield","D7 Med Multispeciality Clinic, Ground Floor, Building No. 297, AECS Layout - A Block, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037","Bangalore, KA, T1",0,0,0,0,0,0,0,0,0,0,0,0
12902479062234361627,"Allo Health, Nallagandla - Best Sexologist in Hyderabad and Sex Doctor","Sree Vedha Clinic & Diagnostics, Room No - 1, 2nd Floor, Beside Havells Galaxy, MIG 91 Nalagandla Tellapur road Nalagandla, Serilingampalle (M), Hyderabad, Telangana 500019","Hyderabad, T1, TS",1511,132,686,35,34,0,0,49,12,0,0,0
