location_id,store_code,title,city,tier,state,photos,videos,services_total,services_sti,services_sti_list,products,reviews_total,reviews_sti,total_inventory,total_sti
17495269658020006101,12675523552726750630,"Allo Health, Dilsukhnagar - Best Sexologist & Sex Doctors in Hyderabad",Hyderabad,T1,TS,6,0,91,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,73,0,170,31
14079604544744671679,15756288710339431315,"Allo Health, Thoraipakkam - Best Sexologist in Chennai | Sex Doctor | Sex Therap",Chennai,T1,TN,29,0,0,0,,0,25,0,54,0
13804285829032824291,01577029005350371671,"Allo Health, Bhopal - Best Sexologist in Bhopal | Sex Doctor | Sex Therapist | S",Bhopal,T2,MP,38,0,0,0,,0,18,5,56,5
7343811206527278981,17847313291342374284,"Allo Health, Velachery - Best Sexologist in Chennai | Sex Doctor | Sex Therapist",Chennai,T1,TN,52,1,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,573,16,715,47
2681927097274344599,07873571621400016238,Allo Health - Attapur | Best Sexologist | Sex Doctor and Sexual Health Clinic,Attapur,T1,TS,24,0,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,188,13,302,44
2119948391282754109,04598101031435945721,"Allo Health, Katraj - Best Sexologist & STI/STD Specialist in Pune",Pune,T1,MH,35,1,87,27,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | Comp,0,125,11,248,38
5634468271835001724,00037372331341039606,"Allo Health, Mogappair - Best Sexologist in Chennai | Sex Doctor | Sex Therapist",Chennai,T1,TN,42,0,88,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,26,0,156,31
13731073608955566563,02409964198464660634,"Allo Health, Nashik - Best Sexologist in Nashik | Sex Doctor | Sex Therapist | S",Nashik,T2,MH,24,5,0,0,,0,81,11,110,11
12299560824081127670,07122099451195063100,"Allo Health, Vijayawada - Best Sexologist in Vijayawada | Sex Doctor | Sex Thera",Vijayawada,T2,AP,21,4,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,65,10,179,41
10915272574631033863,15588145427248929553,"Allo Health, Nashik - Best Sexologist in Nashik | Sex Doctor | Sex Therapist | S",Nagpur,T2,MH,36,4,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,161,7,290,38
