location_id,title,city,n_all,avg_all,n_recent90,avg_recent90,n_prior90,avg_prior90,velocity_change,low_star_recent,response_rate_recent,top_theme
14972625616199796151,"Allo Health, Ghatkopar - Best Sexologist in Mumbai | Sex Doc",Mumbai,456,4.89,59,4.98,74,4.93,-0.20270270270270271,0,1.0,
13415892243645006344,"Allo Health, Whitefield - Best Sexologist in Bangalore | Sex",Bengaluru,594,4.85,44,4.93,42,4.95,0.047619047619047616,0,0.98,
16859390687673316202,"Allo Health, Andheri East - Best Sexologist in Mumbai | Sex ",Mumbai,698,4.84,42,4.81,39,4.74,0.07692307692307693,1,0.98,fees_high
8741736594769211267,Allo Health Corporate Office,Bengaluru,45,4.07,2,3,0,,2.0,1,0.0,fees_high
13984122501333476050,"Allo Health, Kukatpally - Sexual Health Clinic",Hyderabad,418,4.92,17,4.65,63,4.95,-0.7301587301587301,1,0.94,
1564825197560831287,"Allo Health, Malad - Best Sexologist in Mumbai | Sex Doctor ",Mumbai,533,4.87,12,4.67,34,4.97,-0.6470588235294118,1,1.0,fees_high
2584614150468436300,"Allo Health, Jaipur - Best Sexologist in Jaipur | Sex Doctor",Jaipur,56,4.86,54,4.91,0,,54.0,0,0.93,
3110029528810996277,"Allo Health, Koramangala - Best Sexologist in Bangalore | Se",Bengaluru,496,4.89,57,4.77,35,4.6,0.6285714285714286,2,1.0,wait_time
17495269658020006101,"Allo Health, Dilsukhnagar - Best Sexologist & Sex Doctors in",Hyderabad,73,4.78,0,,24,4.54,-1.0,0,0.0,
14079604544744671679,"Allo Health, Thoraipakkam - Best Sexologist in Chennai | Sex",Chennai,25,5,25,5,0,,25.0,0,1.0,
13804285829032824291,"Allo Health, Bhopal - Best Sexologist in Bhopal | Sex Doctor",Bhopal,18,5,18,5,0,,18.0,0,1.0,
7343811206527278981,"Allo Health, Velachery - Best Sexologist in Chennai | Sex Do",Chennai,573,4.85,43,4.81,67,4.88,-0.3582089552238806,1,0.98,
2681927097274344599,Allo Health - Attapur | Best Sexologist | Sex Doctor and Sex,Attapur,188,4.9,1,5,3,4.67,-0.6666666666666666,0,1.0,
2119948391282754109,"Allo Health, Katraj - Best Sexologist & STI/STD Specialist i",Pune,125,4.9,28,4.79,14,4.93,1.0,0,1.0,
5634468271835001724,"Allo Health, Mogappair - Best Sexologist in Chennai | Sex Do",Chennai,26,4.85,11,4.82,3,4.67,2.6666666666666665,0,0.91,
13731073608955566563,"Allo Health, Nashik - Best Sexologist in Nashik | Sex Doctor",Nashik,81,4.95,12,5,69,4.94,-0.8260869565217391,0,1.0,
12299560824081127670,"Allo Health, Vijayawada - Best Sexologist in Vijayawada | Se",Vijayawada,65,4.88,14,5,51,4.84,-0.7254901960784313,0,0.86,
10915272574631033863,"Allo Health, Nashik - Best Sexologist in Nashik | Sex Doctor",Nagpur,161,4.99,10,5,74,5,-0.8648648648648649,0,1.0,
5713797620365084252,"Allo Health, Sushant Lok - Best Sexologist & STI/STD Special",गुरुग्राम,113,4.71,0,,0,,0.0,0,0.0,
18167615086952342320,"Allo Health, Mysuru - Best Sexologist in Mysore | Sex Doctor",Mysuru,513,4.88,44,5,68,5,-0.35294117647058826,0,1.0,
16734770786722847016,"Allo Health, RT Nagar",Bengaluru,1,5,1,5,0,,1.0,0,0.0,
13976033231598062289,"Allo Health, Hubli - Best Sexologist in Hubli | Sex Doctor |",Hubballi,14,5,14,5,0,,14.0,0,1.0,
8101293844210612730,"Allo Health, HSR Layout - Best Sexologist in Bangalore | Sex",Bengaluru,668,4.82,40,4.95,37,4.95,0.08108108108108109,0,1.0,
7867974387162223608,Allo Health - India's largest chain of Sexual Health Clinics,New Delhi,176,4.56,0,,1,5,-1.0,0,0.0,
9724695569029443936,"Allo Health, Coimbatore - Best Sexologist & Psychiatrist in ",Coimbatore,164,4.95,114,4.96,50,4.92,1.28,1,0.96,
8077717933961400096,"Allo Health, Nungambakkam - Best Sexologist in Chennai | Sex",Chennai,300,4.9,6,5,51,4.9,-0.8823529411764706,0,1.0,
13986872671996155787,"Allo Health, Panvel - Best Sexologist in Navi Mumbai | Sex D",Mumbai,34,5,34,5,0,,34.0,0,0.79,
2530678908092947498,"Allo Health, Arekere - Best Sexologist in Bangalore | Sex Do",Bengaluru,326,4.85,17,4.29,12,4.75,0.4166666666666667,1,0.88,
7896982343720743767,"Allo Health, Gandhinagar - Best Sexologist in Gandhinagar | ",Gandhinagar,5,5,5,5,0,,5.0,0,0.8,
11132752791255161716,"Allo Health, Borivali - Best Sexologist in Mumbai | Sex Doct",Mumbai,345,4.87,64,4.89,16,5,3.0,1,0.95,
9104338546064126214,"Allo Health, Nallagandla - Best Sexologist in Hyderabad and ",Hyderabad,36,5,36,5,0,,36.0,0,0.69,
16294135629270090282,"Allo Health, Wakad - Best Sexologist in Pune | Sex Doctor | ",Pune,288,4.91,46,4.91,52,4.92,-0.11538461538461539,0,0.96,
18365615562122828264,"Allo Health, Vijayanagar - Best Sexologist in Bangalore | Se",Bengaluru,463,4.86,86,4.81,95,4.75,-0.09473684210526316,1,1.0,
8580494001500529922,"Allo Health, Mangaluru - Best Sexologist in Mangalore | Sex ",Mangaluru,152,4.91,32,4.84,71,4.9,-0.5492957746478874,0,0.97,
14107250459846747285,"Allo Health, Sainikpuri - Best Sexologist in Hyderabad | Sex",Hyderabad,310,4.83,62,4.94,29,4.79,1.1379310344827587,0,1.0,
